National Center for Education Statistics (NCES),,,,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,,,
This report was generated using the NAEP Data Explorer. http://nces.ed.gov/nationsreportcard/naepdata/,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Average scale scores for mathematics, grade 8 by parental education level, from 2 questions [PARED], year and jurisdiction: 2015, 2013, 2011, and 2009",,,,,,,,,,,
,,,,,,,,,,,
,,Did not finish high school,,Graduated high school,,Some education after high school,,Graduated college,,Unknown,
Year,Jurisdiction,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error
,Oklahoma,259,(2.7),267,(1.9),279,(1.5),284,(1.5),265,(2.2)
,Oregon,268,(1.8),273,(1.7),289,(1.7),299,(1.4),264,(2.4)
,Pennsylvania,268,(3.3),274,(1.6),289,(2.0),300,(1.5),264,(2.7)
,Rhode Island,257,(2.8),268,(1.7),279,(1.8),289,(1.2),257,(2.2)
,South Carolina,266,(2.5),269,(2.0),283,(1.5),290,(1.5),265,(2.9)
,South Dakota,271,(2.8),280,(1.7),292,(1.3),298,(0.7),272,(2.1)
,Tennessee,264,(2.1),262,(1.6),280,(1.7),284,(1.8),259,(2.3)
,Texas,273,(1.8),278,(1.7),289,(1.8),300,(1.7),271,(2.1)
,Utah,258,(3.2),270,(2.3),283,(1.7),294,(1.1),261,(2.5)
,Vermont,271,(3.4),276,(1.4),288,(1.6),304,(0.8),275,(2.1)
,Virginia,269,(2.9),271,(1.7),284,(1.8),296,(1.5),271,(2.6)
,Washington,262,(2.1),277,(1.7),290,(2.0),301,(1.2),272,(2.3)
,West Virginia,253,(3.1),260,(1.8),277,(1.5),281,(1.3),258,(2.1)
,Wisconsin,262,(3.0),279,(1.7),289,(1.6),298,(1.2),269,(2.3)
,Wyoming,270,(3.4),275,(1.8),288,(1.6),295,(1.1),271,(2.7)
,,,,,,,,,,,
† Not applicable.,,,,,,,,,,,
‡ Reporting standards not met.,,,,,,,,,,,
NOTE: The NAEP Mathematics scale ranges from 0 to 500. Some apparent differences between estimates may not be statistically significant.,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2009, 2011, 2013 and 2015 Mathematics Assessments.",,,,,,,,,,,
